id,slug,name,cluster,cluster_ar,destination,type,official_url,official_domain,tags,family_score,honeymoon_score,privacy_score,nature_score,luxury_score,audience_segments,saudi_fit_reason_ar,content_angle_ar,crawl_hints,source_strategy,media_rights_note_ar,cohort,launch_priority,data_status
1,ng-sapanca,NG Sapanca,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Resort,https://www.nghotels.com.tr/en/our-hotels/ng-sapanca/,nghotels.com.tr,"family, wellness, lake, forest, kids, spa",5,1,1,3,3,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, kids-club, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,1,ready_for_ingestion
2,elite-world-grand-sapanca,Elite World Grand Sapanca,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Resort,https://www.eliteworldhotels.com.tr/hotels/elite-world-grand-sapanca,eliteworldhotels.com.tr,"family, wellness, lake, forest, spa, thermal_pool",4,1,1,3,3,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,2,ready_for_ingestion
3,richmond-nua-wellness-spa,Richmond Nua Wellness Spa,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Wellness Hotel,https://www.richmondnua.com/en,richmondnua.com,"wellness, lake, spa, adults_only, honeymoon",2,4,1,2,3,"honeymoon, wellness, mountain_lake_nature",ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,3,ready_for_ingestion
4,ramada-resort-by-wyndham-sapanca-thermal,Ramada Resort by Wyndham Sapanca Thermal,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Thermal Resort,https://www.wyndhamhotels.com/ramada/sakarya-turkiye/ramada-resort-sapanca-thermal/overview,wyndhamhotels.com,"bungalow, lake, thermal, family, spa",5,1,1,3,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كرحلة استرخاء وسبا: ابدأ بالطبيعة، ثم الحمامات/الحراري، ثم سهولة الرحلة للعائلة أو الزوجين.,"homepage, rooms, gallery, offers, dining, spa, location, contact, thermal, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,4,ready_for_ingestion
5,dedeman-village-sapanca,Dedeman Village Sapanca,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Bungalow Resort,https://www.dedeman.com/en/hotels/dedeman-village-sapanca/,dedeman.com,"bungalow, lake, family, privacy, nature",5,2,3,3,2,"family, honeymoon, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,5,ready_for_ingestion
6,cabir-deluxe-hotel-sapanca,Cabir Deluxe Hotel Sapanca,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Hotel,https://www.cabirdeluxe.com/en/,cabirdeluxe.com,"family, lake, spa, suite",5,1,1,2,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
7,world-dreams-sapanca,World Dreams Sapanca,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Luxury Bungalow,https://www.worlddreamssapanca.com/en,worlddreamssapanca.com,"private_pool, bungalow, honeymoon, privacy, nature",3,4,3,2,3,honeymoon,ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, villas","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,6,ready_for_ingestion
8,ng-enjoy,NG Enjoy,Sapanca & Lake Nature,سابانجا والطبيعة حول البحيرة,Sapanca,Resort,https://www.nghotels.com.tr/en/our-hotels/ng-enjoy/,nghotels.com.tr,"family, forest, spa, kids",5,1,1,2,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح كخيار قريب نسبيًا لمن يريد طبيعة سهلة الوصول بعد إسطنبول.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, kids-club, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
9,swissotel-uludag-bursa,Swissotel Uludag Bursa,Mountain & Wellness Escapes,ملاذات الجبال والسبا,Uludag / Bursa,Wellness Resort,https://www.swissotel.com/hotels/uludag-bursa/,swissotel.com,"mountain, wellness, forest, family, spa",4,1,1,3,3,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,7,ready_for_ingestion
10,kaya-uludag,Kaya Uludag,Mountain & Wellness Escapes,ملاذات الجبال والسبا,Uludag / Bursa,Mountain Hotel,https://kayahotels.com/en/oteller/kaya-uludag/,kayahotels.com,"mountain, ski, family, all_inclusive",4,1,1,2,2,"family, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
